benchmark,task,condition,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90,equal_task_macro,dense_equal_task_macro,correct,unparsed_answers
aime26,AIME26,blasst_aggressive_s50,30,0.36666666666666664,0.5666666666666667,-0.2,"(-0.36666666666666664, -0.03333333333333333)",1139,47250,0.024105820105820106,0.0,0.6470588235294117,6,0,62640480.0,32173054.0,32173054.0,32173054.0,0.0,409614623.03328323,585646080.0,16656471745.414755,66588686212.533356,409614623.03328323,463011106.7405901,7596183.0,7596183.0,0.5136144231334115,0.5136144231334115,0.6994234863371462,0.6994234863371462,0.5001396467515733,0.0,39763680.0,20584976.0,20584976.0,18301440.0,9494306.0,9494306.0,4575360.0,2093772.0,2093772.0,0.5136144231334115,0.0,0.09117534553856634,0.12126636002789251,0.0,0.5176828703983133,0.5187737139809764,0.45761907259756607,11918880.0,5912894.0,5912894.0,5912894.0,0.0,70041662.65623039,97607680.0,2860421296.811484,18490155123.11328,70041662.65623039,75397253.6235857,995262.0,995262.0,0.4960947672935712,0.4960947672935712,0.7175835206433591,0.7175835206433591,0.39331881684981557,0.0,8106080.0,4060752.0,4060752.0,3050240.0,1565101.0,1565101.0,762560.0,287041.0,287041.0,0.4960947672935712,0.0,0.05486854074756526,0.08350298014578551,0.0,0.5009513846396779,0.5131074931808645,0.37641759336970204,50721600.0,26260160.0,26260160.0,26260160.0,0.0,339572960.3770528,488038400.0,13796050448.603271,48098531089.420074,339572960.3770528,387613853.1170044,6600921.0,6600921.0,0.5177313018516766,0.5177313018516766,0.6957914794759035,0.6957914794759035,0.535564127835433,0.0,31657600.0,16524224.0,16524224.0,15251200.0,7929205.0,7929205.0,3812800.0,1806731.0,1806731.0,0.5177313018516766,0.0,0.09843670649676667,0.13014023611242548,0.0,0.5219670474072576,0.5199069581409987,0.4738593684431389,"[0.5473617160093686, 0.7104742739030703, 0.7391428447024139]","[0.41664497882104307, 0.4649665491268202, 0.7218203967430854]","[0.48079692145757347, 0.5164969282643197, 0.6260380949797454]","[0.5262637304247255, 0.7347805740591387, 0.768024408311079]","[0.3068192351454477, 0.34922409563799156, 0.5857035486245706]","[0.4469870148192308, 0.48957658151288685, 0.6349172421824368]","[0.5524035797712313, 0.7064345504065617, 0.7333740397173946]","[0.45110884857063577, 0.5048398506825489, 0.7689284041761325]","[0.4858543562291131, 0.5198260309429512, 0.6289268663194445]",0.36666666666666664,0.5666666666666667,11.0,0
aime26,AIME26,blasst_original_s50,30,0.5333333333333333,0.5666666666666667,-0.03333333333333333,"(-0.2, 0.13333333333333333)",2444,42612,0.057354735755186334,0.0,0.9411764705882353,2,0,35726640.0,10295971.0,10295971.0,10295971.0,0.0,275730101.24419403,295157760.0,692404193.2854809,32114396214.146393,275730101.24419403,282571469.5851383,2814763.0,2814763.0,0.28818749818062933,0.28818749818062933,0.9341787295180517,0.9341787295180517,0.14683512729667697,0.0,24197040.0,7543262.0,7543262.0,9223680.0,2366165.0,2366165.0,2305920.0,386544.0,386544.0,0.28818749818062933,0.0,0.023178683633268832,0.07878611030872201,0.0,0.3117431718920992,0.25653155790313625,0.16763114071606994,6883040.0,2441219.0,2441219.0,2441219.0,0.0,44596637.32763767,49192960.0,262033673.77183664,9213967290.101807,44596637.32763767,45359437.32624817,394321.0,394321.0,0.35467162765289756,0.35467162765289756,0.9065654379740042,0.9065654379740042,0.16863791335761447,0.0,4961440.0,1960751.0,1960751.0,1537280.0,424418.0,424418.0,384320.0,56050.0,56050.0,0.35467162765289756,0.0,0.015506283797732369,0.057288785187940214,0.0,0.39519796671933954,0.2760837323064113,0.14584200666111574,28843600.0,7854752.0,7854752.0,7854752.0,0.0,231133463.91655636,245964800.0,430370519.51364416,22900428924.044586,231133463.91655636,237212032.25889015,2420442.0,2420442.0,0.272322178923574,0.272322178923574,0.9397013878268612,0.9397013878268612,0.13708800263669016,0.0,19235600.0,5582511.0,5582511.0,7686400.0,1941747.0,1941747.0,1921600.0,330494.0,330494.0,0.272322178923574,0.0,0.024713163600376127,0.08391608537075816,0.0,0.2902176693214664,0.25262112302248124,0.17198896752706078,"[0.9306806286393676, 0.9340461944070904, 0.9410806266789804]","[0.13694993010405823, 0.14547804974032896, 0.15358416983735224]","[0.27492095309272785, 0.2895341386284265, 0.31676453986655856]","[0.8919968963873551, 0.9155596477859136, 0.9346119237824327]","[0.1441354131691107, 0.16413941450722, 0.1810222142148241]","[0.27237375070382885, 0.3364631483804933, 0.3840191806684112]","[0.9358355243956827, 0.9396538352279, 0.9435522596130959]","[0.12671178783724368, 0.13755805148476263, 0.14894454951598027]","[0.25813997642647374, 0.28426520735466243, 0.31927713793682794]",0.5333333333333333,0.5666666666666667,16.0,0
aime26,AIME26,cancel_guard_gaussian_r32_s50,30,0.43333333333333335,0.5666666666666667,-0.13333333333333333,"(-0.26666666666666666, -0.03333333333333333)",1946,43526,0.04470890961724027,0.0,0.7647058823529412,6,0,58314720.0,29570551.0,0.0,29570551.0,0.0,332421322.5257167,455884800.0,3137272515.750306,48439732775.3902,332421322.5257167,400538410.83665943,9427867.0,9427867.0,0.5070855351787679,0.5070855351787679,0.7291783418216986,0.7291783418216986,0.2544926553394414,0.0,40506720.0,22211461.0,22211461.0,14246400.0,6174159.0,6174159.0,3561600.0,1184931.0,1184931.0,0.0,0.0,0.149417327164544,0.1616721644209215,0.0,0.5483401519550336,0.4333838022237197,0.3326962601078167,11523520.0,5909961.0,0.0,5909961.0,0.0,59656811.83764267,75980800.0,438778252.91917825,13746058363.763428,59656811.83764267,64744137.839110374,1372486.0,1372486.0,0.5128607404681903,0.5128607404681903,0.7851564057978156,0.7851564057978156,0.17866252007929131,0.0,8555520.0,4739062.0,4739062.0,2374400.0,994162.0,994162.0,593600.0,176737.0,176737.0,0.0,0.0,0.0669554150715405,0.11910301713365361,0.0,0.5539186396618792,0.41870030323450136,0.2977375336927224,46791200.0,23660590.0,0.0,23660590.0,0.0,272764510.68807405,379904000.0,2698494262.8311276,34693674411.62677,272764510.68807405,335794272.99754906,8055381.0,8055381.0,0.5056632443707364,0.5056632443707364,0.7179827290264752,0.7179827290264752,0.278891706891086,0.0,31951200.0,17472399.0,17472399.0,11872000.0,5179997.0,5179997.0,2968000.0,1008194.0,1008194.0,0.0,0.0,0.1659097095831447,0.17215589683530236,0.0,0.5468464095245249,0.43632050202156336,0.3396880053908356,"[0.7077807068623363, 0.7463264006874928, 0.7965583945526654]","[0.20571068734034134, 0.2508094199381172, 0.26862183739541234]","[0.4681968786119339, 0.5018969295497583, 0.5218480322757957]","[0.746372578741479, 0.8226703995166107, 0.8689953159870097]","[0.138659052411475, 0.15673969103916538, 0.20171040021423337]","[0.36932372585818946, 0.45979362889609815, 0.5620001234673551]","[0.6960553582330179, 0.7291319974721608, 0.7812581540984849]","[0.2285303479119447, 0.2736093580820086, 0.2928558620949585]","[0.4866791353764969, 0.5020664022264012, 0.5169019124814579]",0.43333333333333335,0.5666666666666667,13.0,0
aime26,AIME26,dense,30,0.5666666666666667,0.5666666666666667,0.0,"(0.0, 0.0)",39999,39999,1.0,1.0,1.0,6,0,37578880.0,0.0,0.0,0.0,0.0,300687359.97746277,300687360.0,2.7181293168540045e-05,32978789223.287933,300687359.97746277,300687359.98387146,0.0,0.0,0.0,0.0,0.9999999999250476,0.9999999999250476,2.870897610837873e-08,0.0,25833280.0,0.0,0.0,9396480.0,0.0,0.0,2349120.0,0.0,0.0,0.0,0.0,2.1313471262144175e-11,0.0,0.0,0.0,0.0,0.0,7415680.0,0.0,0.0,0.0,0.0,50114559.99768829,50114560.0,5.245010683177509e-06,9511026284.870605,50114559.99768829,50114559.997283936,0.0,0.0,0.0,0.0,0.9999999999538716,0.9999999999538716,2.3483320079121042e-08,0.0,5458080.0,0.0,0.0,1566080.0,0.0,0.0,391520.0,0.0,0.0,0.0,0.0,-8.068671263526009e-12,0.0,0.0,0.0,0.0,0.0,30163200.0,0.0,0.0,0.0,0.0,250572799.97977448,250572800.0,2.1936282485362536e-05,23467762938.417328,250572799.97977448,250572799.98658752,0.0,0.0,0.0,0.0,0.9999999999192828,0.9999999999192828,3.057353590147204e-08,0.0,20375200.0,0.0,0.0,7830400.0,0.0,0.0,1957600.0,0.0,0.0,0.0,0.0,2.718989976727821e-11,0.0,0.0,0.0,0.0,0.0,"[0.9999999997469359, 1.0, 1.0]","[0.0, 0.0, 5.3302427283925395e-08]","[0.0, 0.0, 0.0]","[0.9999999998577553, 1.0, 1.0]","[0.0, 0.0, 4.4176316024906394e-08]","[0.0, 0.0, 0.0]","[0.9999999997242085, 1.0, 1.0]","[0.0, 0.0, 5.654224268682053e-08]","[0.0, 0.0, 0.0]",0.5666666666666667,0.5666666666666667,17.0,0
aime26,AIME26,full_centered_s50,30,0.5,0.5666666666666667,-0.06666666666666667,"(-0.23333333333333334, 0.13333333333333333)",2153,44164,0.04875011321438275,0.0,0.8823529411764706,7,0,59744480.0,30652443.0,0.0,30652443.0,0.0,340996582.3363609,469155840.0,3303635932.389712,49871432090.79761,340996582.3363609,411574356.73124075,9568824.0,9568824.0,0.5130589972496203,0.5130589972496203,0.7268300919719146,0.7268300919719146,0.2573772586398094,0.0,41418080.0,22982559.0,22982559.0,14661120.0,6449458.0,6449458.0,3665280.0,1220426.0,1220426.0,0.0,0.0,0.15043567270713262,0.16016247860890245,0.0,0.5548919457396383,0.43990213571678016,0.3329693775100402,11834880.0,6086108.0,0.0,6086108.0,0.0,61692594.403549194,78192640.0,444678042.7418729,14170371003.560547,61692594.403549194,66850199.764835835,1389646.0,1389646.0,0.5142517710361237,0.5142517710361237,0.7889821139630174,0.7889821139630174,0.17714635974051013,0.0,8780480.0,4903212.0,4903212.0,2443520.0,1016918.0,1016918.0,610880.0,165978.0,165978.0,0.0,0.0,0.06596024077568734,0.11741952601124811,0.0,0.5584218630416561,0.4161692967522263,0.2717031168150864,47909600.0,24566335.0,0.0,24566335.0,0.0,279303987.9328117,390963200.0,2858957889.6478386,35701061087.23706,279303987.9328117,344724156.9664049,8179178.0,8179178.0,0.5127643520296559,0.5127643520296559,0.7143996875736941,0.7143996875736941,0.282984935771082,0.0,32637600.0,18079347.0,18079347.0,12217600.0,5432540.0,5432540.0,3054400.0,1054448.0,1054448.0,0.0,0.0,0.16733075909342168,0.17072106634161002,0.0,0.5539422935509964,0.44464870350969093,0.3452226296490309,"[0.6953025682835646, 0.7401093493679425, 0.8020544960367881]","[0.19585085028804058, 0.2492251006619346, 0.2753395781418678]","[0.47960942494269804, 0.5046889322951835, 0.5255073473229803]","[0.741069816321553, 0.8173888529644623, 0.8695945634931467]","[0.13603464358683612, 0.16161986748880086, 0.20026805224623814]","[0.3684646872695994, 0.4530087242206314, 0.5682749109677633]","[0.6862645773359874, 0.7241834274751437, 0.7901206449957285]","[0.2172148121719161, 0.27790866011866144, 0.30111747400266936]","[0.49349403518473006, 0.509662897273027, 0.525485080499639]",0.5,0.5666666666666667,15.0,0
aime26,AIME26,jl_gaussian_r32_s50,30,0.5,0.5666666666666667,-0.06666666666666667,"(-0.26666666666666666, 0.1)",2215,42619,0.05197212510851967,0.0,0.8823529411764706,5,0,52427680.0,26560963.0,0.0,26560963.0,0.0,306281654.41013724,417792000.0,2832912878.308681,44366041959.71295,306281654.41013724,367617185.39846087,8333027.0,8333027.0,0.5066209872342243,0.5066209872342243,0.7330960248404403,0.7330960248404403,0.2526918683730712,0.0,36107680.0,19796665.0,19796665.0,13056000.0,5691638.0,5691638.0,3264000.0,1072660.0,1072660.0,0.0,0.0,0.14680877323721764,0.15894327195099994,0.0,0.5482674323024908,0.4359404105392157,0.32863357843137253,10355680.0,5247191.0,0.0,5247191.0,0.0,55344222.8369689,69632000.0,377533260.1609279,12657975014.998535,55344222.8369689,59867537.43347788,1213015.0,1213015.0,0.5066969045007185,0.5066969045007185,0.7948101855033447,0.7948101855033447,0.1727012544430292,0.0,7635680.0,4211594.0,4211594.0,2176000.0,892993.0,892993.0,544000.0,142604.0,142604.0,0.0,0.0,0.06496028545078383,0.11713523399718802,0.0,0.5515676403411353,0.4103828125,0.2621397058823529,42072000.0,21313772.0,0.0,21313772.0,0.0,250937431.57316834,348160000.0,2455379618.147753,31708066944.714417,250937431.57316834,307749647.964983,7120012.0,7120012.0,0.5066023008176459,0.5066023008176459,0.7207531927078594,0.7207531927078594,0.27827515929128877,0.0,28472000.0,15585071.0,15585071.0,10880000.0,4798645.0,4798645.0,2720000.0,930056.0,930056.0,0.0,0.0,0.1631784707945044,0.16923397984407682,0.0,0.5473823756673223,0.44105193014705885,0.34193235294117647,"[0.703512149611914, 0.7534073742576709, 0.8067245815443218]","[0.20341303336879113, 0.24234262382065969, 0.27380475947723565]","[0.45942781294899426, 0.49858917547626846, 0.5241532290650297]","[0.7448011674369036, 0.8368713100130124, 0.8832270336378858]","[0.12833756622332873, 0.15268586457911643, 0.19755595604734755]","[0.3592863587622549, 0.44762948174644035, 0.5465426971567728]","[0.6958763498048978, 0.7376130506110287, 0.7901005073330181]","[0.2264088514536031, 0.26865042285881036, 0.2976278348299912]","[0.4810716217771639, 0.5040859213124838, 0.5214389088473798]",0.5,0.5666666666666667,15.0,0
aime26,AIME26,jl_sign_r32_s50,30,0.4666666666666667,0.5666666666666667,-0.1,"(-0.26666666666666666, 0.06666666666666667)",2079,43489,0.04780519211754697,0.0,0.823529411764706,6,0,53296480.0,26473456.0,0.0,26473456.0,0.0,319186464.82301414,429588480.0,2796971539.1258636,45630368835.28064,319186464.82301414,379062851.7859659,8424550.0,8424550.0,0.49672053388891724,0.49672053388891724,0.7430051774736002,0.7430051774736002,0.2475808410731498,0.0,36515680.0,19695024.0,19695024.0,13424640.0,5744052.0,5744052.0,3356160.0,1034380.0,1034380.0,0.0,0.0,0.13938080221087815,0.15806953855113884,0.0,0.5393579963456795,0.42787382008009156,0.30820342295957287,10430880.0,5027840.0,0.0,5027840.0,0.0,58099812.913552284,71598080.0,354370580.7255202,13041053658.718994,58099812.913552284,62294377.84378815,1193489.0,1193489.0,0.4820149402543218,0.4820149402543218,0.8114716611611971,0.8114716611611971,0.16484375135157844,0.0,7634080.0,4005859.0,4005859.0,2237440.0,888573.0,888573.0,559360.0,133408.0,133408.0,0.0,0.0,0.058584880072703946,0.11441882180602211,0.0,0.5247336941713998,0.3971382472826087,0.23850114416475973,42865600.0,21445616.0,0.0,21445616.0,0.0,261086651.90946186,357990400.0,2442600958.4003434,32589315176.561646,261086651.90946186,316768473.9421778,7231061.0,7231061.0,0.5002989810010825,0.5002989810010825,0.7293118807360808,0.7293118807360808,0.27377175776147133,0.0,28881600.0,15689165.0,15689165.0,11187200.0,4855479.0,4855479.0,2796800.0,900972.0,900972.0,0.0,0.0,0.15553998663851298,0.16869146821693853,0.0,0.5432235402470778,0.4340209346395881,0.32214387871853545,"[0.7175091631427921, 0.7556804287944594, 0.7992363243858178]","[0.2049155247445356, 0.24137869590988453, 0.271404671364789]","[0.4637285917784745, 0.49050154782444805, 0.5194394153088722]","[0.7776534519813513, 0.8477314345354345, 0.8831477167298819]","[0.12877781397379298, 0.14458720034368316, 0.18311225855283625]","[0.3539954196217494, 0.42369129820610085, 0.5267170487967833]","[0.7050930297480122, 0.741951581162525, 0.7834629593693203]","[0.22633952939922128, 0.2667907889479108, 0.29780627170961615]","[0.4809447074956978, 0.49708100006518374, 0.5200932800692935]",0.4666666666666667,0.5666666666666667,14.0,0
aime26,AIME26,mass_s50,30,0.4666666666666667,0.5666666666666667,-0.1,"(-0.23333333333333334, 0.03333333333333333)",1950,45675,0.042692939244663386,0.0,0.823529411764706,8,0,61217520.0,31460530.0,31460530.0,31460530.0,0.0,364197209.78272533,485253120.0,4801952847.440483,52858245551.459625,364197209.78272533,419950162.7927308,8733207.0,8733207.0,0.5139138272834313,0.5139138272834313,0.7505303825408177,0.7505303825408177,0.3014064720048783,0.0,42262320.0,22362799.0,22362799.0,15164160.0,7597059.0,7597059.0,3791040.0,1500672.0,1500672.0,0.5139138272834313,0.0,0.11489457916314989,0.14265862125744394,0.0,0.5291427209864484,0.5009877896302861,0.3958470498860471,12153920.0,6433694.0,6433694.0,6433694.0,0.0,62380229.51803255,80875520.0,810388834.3598356,14687124810.74707,62380229.51803255,67502264.25660944,1289083.0,1289083.0,0.529351353308233,0.529351353308233,0.7713116344480079,0.7713116344480079,0.23489746588628152,0.0,8994720.0,5023612.0,5023612.0,2527360.0,1224156.0,1224156.0,631840.0,185926.0,185926.0,0.529351353308233,0.0,0.06333232526451625,0.10606314670493142,0.0,0.558506768415248,0.48436154722714614,0.2942612053684477,49063600.0,25026836.0,25026836.0,25026836.0,0.0,301816980.2646928,404377600.0,3991564013.0806475,38171120740.712555,301816980.2646928,352447898.53612137,7444124.0,7444124.0,0.5100896795180133,0.5100896795180133,0.7463741321593798,0.7463741321593798,0.323373251537011,0.0,33267600.0,17339187.0,17339187.0,12636800.0,6372903.0,6372903.0,3159200.0,1314746.0,1314746.0,0.5100896795180133,0.0,0.1252070299428766,0.1517239664435549,0.0,0.5212034231504526,0.5043130381109141,0.416164218789567,"[0.7253491936901474, 0.7621012699444919, 0.7923600724590114]","[0.28598604434094493, 0.29944017692949415, 0.3148442009633769]","[0.4922792108796048, 0.5082280207082546, 0.5282555751275217]","[0.7377206498049853, 0.8017568286327967, 0.8415375776868348]","[0.2069575042697941, 0.2223908452541553, 0.2522816112568881]","[0.401211972935021, 0.4889651062133308, 0.5690155467985625]","[0.7213711810421967, 0.7549528005595139, 0.7812646696745053]","[0.30748636299972626, 0.32333519000720595, 0.3354893882066853]","[0.4915964671020026, 0.51322071758039, 0.5291250451793621]",0.4666666666666667,0.5666666666666667,14.0,0
longbench_v2,Code Repository Understanding,blasst_aggressive_s50,5,0.6,0.6,0.0,"(-0.6, 0.6)",173,3488,0.04959862385321101,0.0,1.0,0,0,38958880.0,20856857.0,20856857.0,20856857.0,0.0,36483288.816170394,48660480.0,621906829.8629484,4975652321.882538,36483288.816170394,43944535.086034775,3112985.0,3112985.0,0.5353556621750933,0.5353556621750933,0.749751930440686,0.749751930440686,0.3535392612926273,0.0,37089920.0,20064973.0,20064973.0,1520640.0,609076.0,609076.0,348320.0,182808.0,182808.0,0.5353556621750933,0.0,0.15333277168380544,0.07990437610116102,0.0,0.5409818354960054,0.4005392466329966,0.5248277446026642,32939680.0,17906113.0,17906113.0,17906113.0,0.0,7347765.916656494,8110080.0,25570660.799175657,1271420660.8950195,7347765.916656494,7448287.156196594,2002371.0,2002371.0,0.5436031254705571,0.5436031254705571,0.9060041228516235,0.9060041228516235,0.14181636300582742,0.0,32654720.0,17877191.0,17877191.0,253440.0,28288.0,28288.0,31520.0,634.0,634.0,0.5436031254705571,0.0,0.01239460517530038,0.06078902405852152,0.0,0.547461163347902,0.11161616161616161,0.020114213197969542,6019200.0,2950744.0,2950744.0,2950744.0,0.0,29135522.8995139,40550400.0,596336169.0637728,3704231660.9875183,29135522.8995139,36496247.92983818,1110614.0,1110614.0,0.49022195640616695,0.49022195640616695,0.7185014919584986,0.7185014919584986,0.40123287138611624,0.0,4435200.0,2187782.0,2187782.0,1267200.0,580788.0,580788.0,316800.0,182174.0,182174.0,0.49022195640616695,0.0,0.18152040498550645,0.18451189526847422,0.0,0.4932769660894661,0.4583238636363636,0.5750441919191919,"[0.7425760952413983, 0.7534143087075411, 0.7692127309801996]","[0.3180115875640302, 0.35208359749375023, 0.36247074499890475]","[0.49855488152607297, 0.5218102017364658, 0.5717777148410768]","[0.8989549053652445, 0.9031462708037797, 0.910267117297976]","[0.13591373429175252, 0.14462431546529547, 0.14907215977708138]","[0.5009629325377554, 0.5327554413542926, 0.5868924021143748]","[0.7090378908300828, 0.7235228166378942, 0.7431558507684931]","[0.3572978490357697, 0.39882749253771, 0.41289688473058556]","[0.46671194964574897, 0.48279091282894737, 0.5030583847004899]",0.6,0.6,3.0,0
longbench_v2,Code Repository Understanding,blasst_original_s50,5,0.4,0.6,-0.2,"(-0.6, 0.0)",192,3246,0.059149722735674676,0.0,0.6666666666666667,0,0,26821280.0,13868845.0,13868845.0,13868845.0,0.0,31375088.49280739,33546240.0,61858967.636092305,3484755003.000244,31375088.49280739,32561459.8728981,1804641.0,1804641.0,0.5170836365751373,0.5170836365751373,0.9352788417660932,0.9352788417660932,0.1332340436004979,0.0,25532800.0,13608175.0,13608175.0,1048320.0,219700.0,219700.0,240160.0,40970.0,40970.0,0.5170836365751373,0.0,0.035365256436808226,0.06728392530110419,0.0,0.5329683779295651,0.2095734126984127,0.1705946035976016,22671680.0,12865471.0,12865471.0,12865471.0,0.0,5038924.254512787,5591040.0,19544972.54135211,902446127.4157715,5038924.254512787,5109546.5885849,1348932.0,1348932.0,0.5674687980776016,0.5674687980776016,0.9012499024354659,0.9012499024354659,0.14716579792610548,0.0,22475200.0,12844767.0,12844767.0,174720.0,20178.0,20178.0,21760.0,526.0,526.0,0.5674687980776016,0.0,0.012631341230274339,0.05949854620389843,0.0,0.5715084626610665,0.11548763736263737,0.02417279411764706,4149600.0,1003374.0,1003374.0,1003374.0,0.0,26336164.2382946,27955200.0,42313995.09474019,2582308875.5844727,26336164.2382946,27451913.284313202,455709.0,455709.0,0.24180017351069982,0.24180017351069982,0.9420846296322187,0.9420846296322187,0.1280082386026564,0.0,3057600.0,763408.0,763408.0,873600.0,199522.0,199522.0,218400.0,40444.0,40444.0,0.24180017351069982,0.0,0.039912039478115,0.10981998264893002,0.0,0.2496755625327054,0.22839056776556776,0.18518315018315018,"[0.9340277445685167, 0.9358632831565767, 0.9374858817853448]","[0.1258047283508651, 0.13249971216792614, 0.13589795546524874]","[0.4899959469337942, 0.5024102879555642, 0.5520507939365855]","[0.8944733943845573, 0.9010675800219178, 0.904521437640295]","[0.14156076729123332, 0.1473166656937085, 0.15778828153714688]","[0.5363794490512955, 0.5481541241771009, 0.6113494791018691]","[0.9403317316605209, 0.9442701881875595, 0.9447176751428515]","[0.11732285909127016, 0.12532040686178586, 0.13201461282372318]","[0.2226733918128655, 0.23908428165007112, 0.2521559109311741]",0.4,0.6,2.0,0
longbench_v2,Code Repository Understanding,cancel_guard_gaussian_r32_s50,5,0.2,0.6,-0.4,"(-0.8, 0.0)",168,3215,0.05225505443234837,0.0,0.33333333333333337,0,0,42005760.0,22329249.0,0.0,22329249.0,0.0,38586769.85717894,52592640.0,384202641.9994342,5290550077.849274,38586769.85717894,48298909.8878994,5049333.0,5049333.0,0.5315758838787823,0.5315758838787823,0.7336914415625255,0.7336914415625255,0.2694819980397245,0.0,39982720.0,21568294.0,21568294.0,1643520.0,584442.0,584442.0,379520.0,176513.0,176513.0,0.0,0.0,0.18466728482769562,0.12020572892860408,0.0,0.539440388247723,0.35560382593457945,0.4650953836424958,35500160.0,19145303.0,0.0,19145303.0,0.0,7964692.767402649,8765440.0,13658927.969889037,1377900667.043457,7964692.767402649,8161911.387908936,3746188.0,3746188.0,0.5393018792027979,0.5393018792027979,0.9086472290498422,0.9086472290498422,0.0995633159217716,0.0,35189120.0,19124396.0,19124396.0,273920.0,20839.0,20839.0,37120.0,68.0,68.0,0.0,0.0,0.02249956881871151,0.10552594692530963,0.0,0.5434746876307223,0.07607695677570094,0.001831896551724138,6505600.0,3183946.0,0.0,3183946.0,0.0,30622077.089776292,43827200.0,370543714.0295451,3912649410.8058167,30622077.089776292,40136998.49999046,1303145.0,1303145.0,0.4894161952779144,0.4894161952779144,0.6987002840650621,0.6987002840650621,0.3077402183234357,0.0,4793600.0,2443898.0,2443898.0,1369600.0,563603.0,563603.0,342400.0,176445.0,176445.0,0.0,0.0,0.21710082802949243,0.2003112702902115,0.0,0.5098251835781041,0.41150919976635514,0.5153183411214953,"[0.7244711812033039, 0.7361433539012752, 0.7482171918948979]","[0.264568180601057, 0.269825513591092, 0.2743463601178948]","[0.49665891884841623, 0.5312428267308404, 0.5716454378499263]","[0.9051157523979608, 0.9103041703558781, 0.9130826065756574]","[0.09572877995970361, 0.09707477846372228, 0.10641753369771503]","[0.4963900861880727, 0.5403887428821725, 0.5908616866596659]","[0.687991641133868, 0.700861235502764, 0.715998411327088]","[0.30227964223384934, 0.30732023506531353, 0.31393784763539445]","[0.465899043062201, 0.4840300497866287, 0.5049921512697829]",0.2,0.6,1.0,0
