split,condition,threshold,correct,count,accuracy,delta_pp,ci95_pp,whole,global_s,local_s,mass,agreement,local_operator_error
full,jl_gaussian_r32_s50,local: exp(-0.759528); global: exp(-1.23614),15.0,30,50.0,-6.666666666666667,"[-26.666666666666668, 10.0]",50.66209872342243,50.66969045007185,50.66023008176459,73.30960248404404,5.197212510851967,0.2526918683730712
full,jl_gaussian_r4_s50,local: exp(-0.759528); global: exp(-1.23614),13.0,30,43.333333333333336,-13.333333333333334,"[-30.0, 0.0]",51.01654944287309,50.235264227642276,51.20632272452566,72.22068548325635,4.468933811101346,0.2721621123101969
full,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),15.0,30,50.0,-6.666666666666667,"[-20.0, 6.666666666666667]",50.78100792023631,49.32274597912675,51.14489286416355,72.35211584364323,4.328043502385973,0.26638851197510466
full,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),14.0,30,46.666666666666664,-10.0,"[-23.333333333333332, 3.3333333333333335]",51.391382728343125,52.9351353308233,51.00896795180133,75.05303825408177,4.269293924466338,0.3014064720048783
noncalibration24,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,9.0,24,37.5,-20.833333333333336,"[-41.66666666666667, 0.0]",51.346835655275434,49.621619188605266,51.75279378259805,70.34577947096003,2.5867661368796626,0.4931868724968034
noncalibration24,blasst_original_s50,local: 1 (unattainable); global: 1 (unattainable),13.0,24,54.166666666666664,-4.166666666666666,"[-25.0, 16.666666666666664]",28.97605251471873,35.20787416232316,27.491574877170578,93.41454086881046,6.014040796649493,0.14705900215710838
noncalibration24,dense,none / ranking budget,14.0,24,58.333333333333336,0.0,"[0.0, 0.0]",0.0,0.0,0.0,100.0,100.0,0.0
noncalibration24,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),12.0,24,50.0,-8.333333333333332,"[-29.166666666666668, 16.666666666666664]",51.46903830931324,51.849038064604905,51.37500798042136,72.59937187255323,5.055021631195378,0.2566403185086136
noncalibration24,jl_gaussian_r16_s50,local: exp(-0.759528); global: exp(-1.23614),9.0,24,37.5,-20.833333333333336,"[-41.66666666666667, 0.0]",51.044619863892606,50.50839535707957,51.17846992601767,72.4809095007496,4.69880594348331,0.26163424146706454
noncalibration24,jl_gaussian_r24_s50,local: exp(-0.759528); global: exp(-1.23614),14.0,24,58.333333333333336,0.0,"[-16.666666666666664, 16.666666666666664]",50.790708738484206,50.6286806864784,50.829536456999136,73.28651528422,4.848595181746465,0.24994388598118716
noncalibration24,jl_gaussian_r2_s50,local: exp(-0.855113); global: exp(-1.26686),13.0,24,54.166666666666664,-4.166666666666666,"[-25.0, 16.666666666666664]",50.289863911089036,51.78177484558262,49.91655179899061,72.91600562777441,4.77179021422599,0.2804616392254183
noncalibration24,jl_gaussian_r32_s50,local: exp(-0.759528); global: exp(-1.23614),12.0,24,50.0,-8.333333333333332,"[-29.166666666666668, 12.5]",50.708548823676246,51.06525350423654,50.62026517455297,73.40969243720056,4.76147668704303,0.25029508367923986
noncalibration24,jl_gaussian_r4_s50,local: exp(-0.759528); global: exp(-1.23614),11.0,24,45.83333333333333,-12.5,"[-29.166666666666668, 4.166666666666666]",51.170443271664425,50.40911333650085,51.35478821668381,72.10459104781133,4.619501978124273,0.27138245206025174
noncalibration24,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),13.0,24,54.166666666666664,-4.166666666666666,"[-16.666666666666664, 8.333333333333332]",50.82641594057361,49.4028637406139,51.183882626746744,72.24832435981354,4.418860577330061,0.26661172755751394
noncalibration24,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),11.0,24,45.83333333333333,-12.5,"[-29.166666666666668, 4.166666666666666]",51.61126424639559,53.19454225352113,51.21736609949398,74.943272598755,3.8060435699226987,0.3023982291113767
